depth,GR
2918.736,92.189
2918.86,91.846
2918.984,90.458
2919.108,88.474
2919.232,88.562
2919.356,92.082
2919.481,95.882
2919.605,96.654
2919.729,94.804
2919.853,93.056
2919.977,91.414
2920.101,88.941
2920.226,86.27
2920.35,84.48
2920.474,83.489
2920.598,82.509
2920.722,82.182
2920.847,83.814
2920.971,87.182
2921.095,90.674
2921.219,92.453
2921.343,92.512
2921.468,91.053
2921.592,88.788
2921.716,86.802
2921.84,87.144
2921.964,89.479
2922.089,91.545
2922.213,91.317
2922.337,89.3
2922.461,86.176
2922.585,82.229
2922.709,78.134
2922.834,75.904
2922.958,76.199
2923.082,78.544
2923.206,82.418
2923.331,86.554
2923.455,90.068
2923.579,92.093
2923.703,93.248
2923.827,94.01
2923.951,94.394
2924.076,95.139
2924.2,96.565
2924.324,96.943
2924.448,95.201
2924.573,92.006
2924.697,89.208
2924.821,87.461
2924.945,86.62
2925.069,86.058
2925.193,85.594
2925.318,84.776
2925.442,83.052
2925.566,81.157
2925.69,80.813
2925.814,82.568
2925.939,84.766
2926.063,85.06
2926.187,83.48
2926.311,82.184
2926.436,83.12
2926.56,86.506
2926.684,89.693
2926.808,90.406
2926.932,88.633
2927.056,86.388
2927.181,85.551
2927.305,86.765
2927.429,88.705
2927.553,89.859
2927.677,88.861
2927.802,87.609
2927.926,88.444
2928.05,92.151
2928.174,96.014
2928.298,97.587
2928.423,95.994
2928.547,92.942
2928.671,89.902
2928.795,88.014
2928.919,88.524
2929.043,91.515
2929.168,94.272
2929.292,94.768
2929.416,93.432
2929.54,92.044
2929.665,90.278
2929.789,87.104
2929.913,84.396
2930.037,83.217
2930.161,83.143
2930.286,83.207
2930.41,82.966
2930.534,81.471
2930.658,78.61
2930.782,75.415
2930.906,73.452
2931.031,72.839
2931.155,73.244
2931.279,73.889
2931.403,74.624
2931.528,76.365
2931.652,80.168
2931.776,85.31
2931.9,89.135
2932.024,90.021
2932.148,88.095
2932.273,85.374
2932.397,83.907
2932.521,84.629
2932.645,87.118
2932.77,90.497
2932.894,93.292
2933.018,94.474
2933.142,93.91
2933.266,91.8
2933.39,89.534
2933.515,88.141
2933.639,87.752
2933.763,88.046
2933.887,88.521
2934.011,88.775
2934.136,89.286
2934.26,90.104
2934.384,91.282
2934.508,93.144
2934.632,95.891
2934.757,99.402
2934.881,102.207
2935.005,102.163
2935.129,99.86
2935.253,97.678
2935.378,97.75
2935.502,99.026
2935.626,99.615
2935.75,99.072
2935.874,97.795
2935.999,95.196
2936.123,91.758
2936.247,89.886
2936.371,90.165
2936.495,90.372
2936.62,90.2
2936.744,90.496
2936.868,91.304
2936.992,91.241
2937.116,90.988
2937.24,92.827
2937.365,95.773
2937.489,95.305
2937.613,90.447
2937.737,85.309
2937.862,83.317
2937.986,82.935
2938.11,81.85
2938.234,82.148
2938.358,86.372
2938.482,92.136
2938.607,96.152
2938.731,97.012
2938.855,95.631
2938.979,92.804
2939.104,89.582
2939.228,87.256
2939.352,86.544
2939.476,86.845
2939.6,87.094
2939.724,87.151
2939.849,87.778
2939.973,88.673
2940.097,89.93
2940.221,91.962
2940.345,94.279
2940.47,94.72
2940.594,92.27
2940.718,88.359
2940.842,86.382
2940.967,86.996
2941.091,88.962
2941.215,90.268
2941.339,90.414
2941.463,90.888
2941.587,93.06
2941.712,96.034
2941.836,98.44
2941.96,99.601
2942.084,99.769
2942.208,99.374
2942.333,97.615
2942.457,94.172
2942.581,90.266
2942.705,87.807
2942.829,87.322
2942.954,87.144
2943.078,85.894
2943.202,84.106
2943.326,82.891
2943.45,82.459
2943.574,82.1
2943.699,82.306
2943.823,83.461
2943.947,84.675
2944.071,85.547
2944.196,86.645
2944.32,87.851
2944.444,87.778
2944.568,86.281
2944.692,85.38
2944.817,85.628
2944.941,85.074
2945.065,82.945
2945.189,81.631
2945.313,83.713
2945.438,86.055
2945.562,85.199
2945.686,81.188
2945.81,77.734
2945.935,76.664
2946.059,77.776
2946.183,80.198
